general-projectname,general-readlength,general-runname,general-samplename,subsample-rawreads,subsample-subsampledreads,fastqc-meanreadqualityR1,fastqc-pct-adapter,fastqc-pct-deduplicated,fastqc-pct-dimer,fastqc-pct-gc,fastqc-sequencelength,fastqc-totalsequences,fastqspeciesscreen-pct-Adapters,fastqspeciesscreen-pct-Chloroplast,fastqspeciesscreen-pct-Mitochondria,fastqspeciesscreen-pct-NoHit,fastqspeciesscreen-pct-PhiX,fastqspeciesscreen-pct-Vectors,fastqspeciesscreen-pct-ecoli,fastqspeciesscreen-pct-human,fastqspeciesscreen-pct-mouse,fastqspeciesscreen-pct-rRNA
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,106.L001,2506344,2506344,31.9,5.89,63.97,0.09,57,101,2000000,0.00,0.00,0.00,94.13,0.00,0.00,0.00,0.14,0.46,5.27
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,107.L001,189950,189950,28.8,4.28,40.28,3.22,65,101,189950,0.00,0.00,0.00,72.00,0.00,0.00,0.04,1.81,17.01,9.14
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,108.L001,2591004,2591004,31.9,5.84,63.69,0.13,57,101,2000000,0.00,0.00,0.00,94.00,0.00,0.00,0.00,0.21,0.55,5.24
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,109.L001,2594739,2594739,31.9,5.31,64.32,0.07,56,101,2000000,0.00,0.00,0.00,95.05,0.00,0.00,0.00,0.57,0.16,4.22
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,110.L001,2868088,2868088,31.8,6.35,62.94,0.10,57,101,2000000,0.00,0.00,0.00,93.37,0.00,0.00,0.00,0.15,0.60,5.88
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,111.L001,3375231,3375231,31.8,6.69,63.17,0.10,57,101,2000000,0.00,0.00,0.00,93.13,0.00,0.00,0.00,0.59,0.27,6.01
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,112.L001,2609344,2609344,31.8,5.48,64.58,0.08,56,101,2000000,0.00,0.00,0.00,94.08,0.00,0.00,0.00,0.14,0.65,5.13
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,113.L001,2627003,2627003,31.8,5.13,65.58,0.11,56,101,2000000,0.00,0.00,0.00,94.56,0.00,0.00,0.00,0.66,0.18,4.60
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,114.L001,2724451,2724451,31.9,2.82,67.35,0.03,55,101,2000000,0.00,0.00,0.00,96.92,0.00,0.00,0.00,0.55,0.15,2.38
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,115.L001,1898602,1898602,31.9,2.10,69.25,0.03,54,101,1898602,0.00,0.00,0.00,97.43,0.00,0.00,0.00,0.20,0.60,1.77
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,116.L001,2422434,2422434,31.9,2.82,67.69,0.04,55,101,2000000,0.00,0.00,0.00,96.51,0.00,0.00,0.00,0.19,0.70,2.60
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,117.L001,2327138,2327138,31.9,2.10,68.26,0.03,54,101,2000000,0.00,0.00,0.00,97.54,0.00,0.00,0.00,0.20,0.64,1.62
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,118.L001,1259286,1259286,30.8,1.54,81.26,0.01,54,101,1259286,0.00,0.00,0.00,97.62,0.00,0.00,0.00,0.72,0.27,1.39
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,119.L001,1369767,1369767,31.7,2.35,76.87,0.02,54,101,1369767,0.00,0.00,0.00,97.29,0.00,0.00,0.00,0.60,0.13,1.98
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,120.L001,2120657,2120657,31.5,2.50,70.22,0.03,55,101,2000000,0.00,0.00,0.00,97.49,0.00,0.00,0.00,0.11,0.68,1.72
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,121.L001,2667719,2667719,31.9,2.35,67.47,0.03,54,101,2000000,0.00,0.00,0.00,97.48,0.00,0.00,0.00,0.22,0.76,1.54
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,122.L001,3185571,3185571,31.9,5.59,64.47,0.11,56,101,2000000,0.00,0.00,0.00,93.71,0.00,0.00,0.00,0.74,0.28,5.27
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,123.L001,3582230,3582230,31.9,5.82,64.11,0.12,57,101,2000000,0.00,0.00,0.00,93.43,0.00,0.00,0.00,0.50,0.18,5.89
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,124.L001,3272026,3272026,31.9,6.15,63.58,0.14,57,101,2000000,0.00,0.00,0.00,93.15,0.00,0.00,0.00,0.58,0.23,6.04
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,125.L001,2724753,2724753,31.9,4.78,65.86,0.13,56,101,2000000,0.00,0.00,0.00,94.26,0.00,0.00,0.00,0.86,0.29,4.59
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,126.L001,3285465,3285465,31.9,5.96,64.12,0.11,57,101,2000000,0.01,0.00,0.00,93.65,0.00,0.00,0.00,0.62,0.15,5.57
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,127.L001,3332286,3332286,31.9,7.08,63.83,0.16,57,101,2000000,0.01,0.00,0.00,92.48,0.00,0.00,0.00,0.24,0.51,6.76
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,128.L001,3234405,3234405,31.9,5.93,62.64,0.10,57,101,2000000,0.00,0.00,0.00,93.12,0.00,0.00,0.00,0.55,0.23,6.10
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,129.L001,3177782,3177782,31.9,6.11,64.95,0.14,56,101,2000000,0.00,0.00,0.00,92.90,0.00,0.00,0.00,0.17,0.66,6.27
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,130.L001,3276248,3276248,31.8,5.29,63.99,0.07,56,101,2000000,0.00,0.00,0.00,94.51,0.00,0.00,0.00,0.60,0.19,4.70
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,131.L001,2935832,2935832,31.9,4.70,63.62,0.07,56,101,2000000,0.00,0.00,0.00,94.82,0.00,0.00,0.00,0.17,0.66,4.35
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,132.L001,2779558,2779558,31.9,4.22,64.51,0.05,56,101,2000000,0.00,0.00,0.00,95.98,0.00,0.00,0.00,0.61,0.22,3.19
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,133.L001,2846721,2846721,31.9,4.72,65.16,0.08,56,101,2000000,0.00,0.00,0.00,95.27,0.00,0.00,0.00,0.60,0.24,3.89
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,134.L001,2769614,2769614,31.4,4.93,68.01,0.07,56,101,2000000,0.00,0.00,0.00,94.92,0.00,0.00,0.00,0.61,0.16,4.31
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,135.L001,2941781,2941781,31.5,5.34,66.92,0.08,57,101,2000000,0.00,0.00,0.00,94.09,0.00,0.00,0.00,0.28,0.74,4.89
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,136.L001,2679271,2679271,31.8,4.94,64.49,0.06,56,101,2000000,0.00,0.00,0.00,95.18,0.00,0.00,0.00,0.18,0.43,4.21
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,137.L001,2424832,2424832,31.6,1.74,66.78,0.36,53,101,2000000,0.00,0.00,0.00,95.71,0.00,0.00,0.00,0.41,1.53,2.35
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,138.L001,2564195,2564195,31.7,4.07,66.11,0.39,56,101,2000000,0.00,0.00,0.00,94.79,0.00,0.00,0.00,0.37,1.02,3.82
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,139.L001,2684855,2684855,31.8,4.86,64.61,0.08,56,101,2000000,0.00,0.00,0.00,94.83,0.00,0.00,0.00,0.63,0.22,4.32
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,140.L001,2380192,2380192,31.6,3.73,65.73,0.45,57,101,2000000,0.00,0.00,0.00,94.35,0.00,0.00,0.00,1.40,0.71,3.54
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,141.L001,1953793,1953793,31.5,1.26,64.10,0.42,55,101,1953793,0.00,0.00,0.00,94.91,0.00,0.00,0.00,3.17,1.01,0.91
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,142.L001,2531600,2531600,31.6,3.86,64.33,0.30,54,101,2000000,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.30,0.91,3.79
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,143.L001,2475733,2475733,31.3,1.96,60.87,0.61,55,101,2000000,0.00,0.00,0.00,94.85,0.00,0.00,0.01,0.91,2.97,1.26
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,144.L001,2236239,2236239,31.6,3.01,64.27,0.25,54,101,2000000,0.00,0.00,0.00,95.55,0.00,0.00,0.00,0.32,1.18,2.95
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,145.L001,2721950,2721950,31.8,4.98,64.92,0.14,56,101,2000000,0.00,0.00,0.00,94.60,0.00,0.00,0.00,0.73,0.22,4.45
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,146.L001,1706525,1706525,31.6,1.35,48.46,0.41,54,101,1706525,0.00,0.00,0.00,95.22,0.00,0.00,0.00,2.81,0.76,1.21
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,147.L001,3145679,3145679,31.9,4.63,65.80,0.10,56,101,2000000,0.00,0.00,0.00,94.79,0.00,0.00,0.00,0.28,0.76,4.17
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,148.L001,3016728,3016728,31.8,4.19,66.21,0.25,55,101,2000000,0.00,0.01,0.00,94.25,0.00,0.00,0.01,0.41,1.06,4.26
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,149.L001,2793641,2793641,31.8,3.46,66.53,0.17,56,101,2000000,0.00,0.00,0.00,95.76,0.00,0.00,0.00,0.29,1.01,2.94
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,150.L001,2852724,2852724,31.7,2.21,59.19,0.30,51,101,2000000,0.00,0.00,0.00,96.52,0.00,0.00,0.00,0.24,1.00,2.24
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,151.L001,3400637,3400637,31.6,5.00,67.51,0.08,57,101,2000000,0.00,0.00,0.00,94.41,0.00,0.00,0.00,0.66,0.22,4.71
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,152.L001,2967980,2967980,31.8,4.56,63.95,0.08,57,101,2000000,0.00,0.00,0.00,95.10,0.00,0.00,0.00,0.21,0.57,4.12
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,153.L001,3114740,3114740,31.9,5.26,64.81,0.10,57,101,2000000,0.00,0.00,0.00,94.13,0.00,0.00,0.00,0.24,0.67,4.96
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,154.L001,2948404,2948404,31.8,4.05,63.27,0.18,56,101,2000000,0.00,0.00,0.00,94.88,0.00,0.00,0.00,0.37,0.91,3.84
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,155.L001,2531445,2531445,31.7,2.16,61.70,0.38,52,101,2000000,0.00,0.00,0.00,95.62,0.00,0.00,0.00,0.36,1.54,2.48
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,156.L001,3019200,3019200,31.9,4.30,65.38,0.14,56,101,2000000,0.00,0.00,0.00,94.73,0.00,0.00,0.00,0.23,0.83,4.21
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,157.L001,2887290,2887290,31.9,4.07,64.83,0.13,56,101,2000000,0.00,0.00,0.00,94.93,0.00,0.00,0.00,0.28,0.81,3.98
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,158.L001,3076741,3076741,31.7,4.16,67.28,0.10,56,101,2000000,0.00,0.00,0.00,95.56,0.00,0.00,0.00,0.61,0.30,3.53
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,159.L001,3096768,3096768,31.8,4.69,64.40,0.07,56,101,2000000,0.00,0.00,0.00,94.87,0.00,0.00,0.00,0.48,0.18,4.47
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,16.2nd.seq.L001,2768707,2768707,31.7,4.47,65.11,0.12,56,101,2000000,0.00,0.00,0.00,94.69,0.00,0.00,0.00,0.20,0.73,4.38
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,160.L001,3040254,3040254,31.7,4.03,65.08,0.14,56,101,2000000,0.00,0.00,0.00,95.12,0.00,0.00,0.00,0.32,0.86,3.70
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,161.L001,3237602,3237602,31.8,4.34,64.91,0.11,56,101,2000000,0.00,0.00,0.00,95.26,0.00,0.00,0.00,0.24,0.65,3.85
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,162.L001,3433327,3433327,31.9,4.81,63.74,0.05,56,101,2000000,0.00,0.00,0.00,94.86,0.00,0.00,0.00,0.48,0.22,4.44
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,163.L001,2909579,2909579,31.9,3.81,66.20,0.12,56,101,2000000,0.00,0.00,0.00,95.46,0.00,0.00,0.00,0.24,0.72,3.58
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,164.L001,2887200,2887200,31.8,4.43,65.70,0.20,56,101,2000000,0.00,0.00,0.00,94.38,0.00,0.00,0.00,0.40,0.92,4.30
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,165.L001,2827721,2827721,31.9,4.38,65.87,0.11,56,101,2000000,0.00,0.00,0.00,94.76,0.00,0.00,0.00,0.23,0.70,4.31
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,166.L001,3208668,3208668,31.8,4.91,64.84,0.07,57,101,2000000,0.00,0.00,0.00,94.23,0.00,0.00,0.00,0.70,0.21,4.86
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,167.L001,3554467,3554467,31.8,4.78,65.83,0.12,56,101,2000000,0.00,0.00,0.00,94.37,0.00,0.00,0.00,0.22,0.76,4.65
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,168.L001,2854677,2854677,31.6,4.17,66.03,0.16,56,101,2000000,0.01,0.00,0.00,94.75,0.00,0.00,0.00,0.30,0.77,4.17
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,169.L001,3017118,3017118,31.9,4.57,65.58,0.08,56,101,2000000,0.00,0.00,0.00,95.03,0.00,0.00,0.00,0.20,0.55,4.22
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,170.L001,3032701,3032701,31.9,4.36,61.67,0.01,56,101,2000000,0.00,0.00,0.00,96.04,0.00,0.00,0.00,0.50,0.13,3.33
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,171.L001,2807443,2807443,32.0,5.33,60.95,0.01,57,101,2000000,0.00,0.00,0.00,94.95,0.00,0.00,0.00,0.42,0.14,4.49
